user,party,nbrFollowers,averageReplies
Emir KIR,ONAFH,4688,234
Melissa Depraetere,Vooruit,7176,145
Darya Safai MP,N-VA,112770,67
Wouter De Vriendt,Ecolo-Groen,16195,66
Kristof Calvo,Ecolo-Groen,57694,45
Vincent Van Quickenborne,Open Vld,91516,39
Egbert Lachaert,Open Vld,22046,37
Hendrik Bogaert,cd&v,13474,29
Wouter Beke,cd&v,63627,29
Jean Marie Dedecker,ONAFH,53817,28
Kim Buyst,Ecolo-Groen,1649,27
Meryame Kitir,Vooruit,14672,27
Koen Geens,cd&v,42110,26
Goedele Liekens,Open Vld,43094,24
Theo Francken MP,N-VA,162269,23
Anneleen Van Bossuyt,N-VA,6869,20
Koen Metsu,N-VA,4530,20
Maxime PREVOT,Les Engagés,11253,20
Michael Freilich,N-VA,6946,20
Michel De Maegd,MR,1961,20
Peter De Roover,N-VA,31565,19
kathleen depoorter,N-VA,4390,17
Raoul Hedebouw,PVDA-PTB,38154,17
Joris Vandenbroucke,Vooruit,6345,16
Sophie Wilmès,MR,88823,15
Steven De Vuyst,PVDA-PTB,543,14
Sander Loones,N-VA,18505,14
Eva Platteau,Ecolo-Groen,1123,14
Peter Mertens MP,PVDA-PTB,24086,13
Samuel Cogolati,Ecolo-Groen,6039,12
Denis Ducarme,MR,20219,12
André Flahaut,PS,14434,10
Servais Verherstraeten,cd&v,6028,10
Nathalie Muylle,cd&v,3655,9
Simon Moutquin,Ecolo-Groen,2900,9
Eliane Tillieux,PS,7384,9
Maria Vindevoghel,PVDA-PTB,844,9
Bert Wollants,N-VA,6489,8
Philippe Goffin,MR,6914,7
Greet Daems,PVDA-PTB,507,7
Anja Vanrobaeys,Vooruit,1978,7
Sarah Schlitz,Ecolo-Groen,6116,6
Georges Dallemagne,Les Engagés,5297,6
wouter raskin,N-VA,2084,6
Tom Van Grieken (BACKUP PROFIEL),VB,2221,6
Gilles Vanden Burre,Ecolo-Groen,5507,6
Valerie Van Peel,N-VA,19891,6
Tim Vandenput,Open Vld,2066,6
Ahmed Laaouej,PS,12961,6
Tomas Roggeman,N-VA,5891,6
Catherine Fonck,Les Engagés,17624,5
Gaby Colebunders,PVDA-PTB,1463,5
Marie Christine Marghem,MR,8059,5
Guillaume Defossé,Ecolo-Groen,1559,5
Nabil Boukili,PVDA-PTB,1855,5
Kris Verduyckt,Vooruit,930,5
Marianne Verhaert,Open Vld,1123,5
Nahima Lanjri,cd&v,3316,4
Frieda Gijbels,N-VA,3047,4
Ben Segers,Vooruit,7204,4
Els Van Hoof,cd&v,3502,4
Christian Leysen 🎷,Open Vld,3411,4
Barbara Pas,VB,17490,4
Yngvild Ingels,N-VA,1592,4
Séverine de Laveleye,Ecolo-Groen,1329,4
François De Smet,DéFI,13510,4
Katja Gabriëls,Open Vld,938,3
Marco Van Hees,PVDA-PTB,5173,3
NawalFarih,cd&v,2744,3
Sophie De Wit,N-VA,5390,3
Ben Achour Malik,PS,2816,3
Claire Hugon,Ecolo-Groen,1217,3
Patrick Prévot,PS,4275,3
Sofie Merckx,PVDA-PTB,5547,3
Wouter Vermeersch,VB,2207,3
Ortwin Depoortere,VB,3418,3
Tania De Jonge,Open Vld,619,3
Louis Mariage,Ecolo-Groen,230,3
Reccino Van Lommel,VB,1122,2
Sigrid Goethals,N-VA,908,2
Vicky Reynaert,Vooruit,1518,2
Wim Van der Donckt,N-VA,2563,2
Sophie Rohonyi,DéFI,5100,2
dieter van besien,Ecolo-Groen,1390,2
Franky Demon,cd&v,1978,2
Khalil Aouasti,PS,993,2
Mathieu Bihet,MR,3921,2
Hugues Bayet,PS,1678,2
Robby De Caluwé,Open Vld,1334,1
Hans Verreyt,VB,2051,1
Cécile Cornet,Ecolo-Groen,450,1
Jef Van den Bergh ☀️,cd&v,3032,1
Piedboeuf Benoît,MR,1819,1
Roberto D'Amico,PVDA-PTB,259,1
Florence Reuter,MR,2414,1
Chanelle Bonaventure,PS,255,1
Annick Ponthier,VB,1712,1
Jan Briers,cd&v,2559,1
Steven Creyelman,VB,1319,1
Gitta Vanpeborgh,Vooruit,254,1
Peter Buysrogge ✌,N-VA,1601,1
Caroline Taquin,MR,1613,1
Kristien Van Vaerenbergh🎗️,N-VA,3215,1
Daniel Bacquelaine,MR,5578,1
Nadia Moscufo,PVDA-PTB,271,0
Maggie De Block,Open Vld,36923,0
Stefaan Vanhecke,Ecolo-Groen,10,0
Mieke Claes,N-VA,289,0
Vanessa Matz,Les Engagés,1026,0
𝙱𝚓𝚘̈𝚛𝚗 𝙰𝚗𝚜𝚎𝚎𝚞𝚠,N-VA,2776,0
Kurt Ravyts,VB,273,0
Josy Arens,Les Engagés,243,0
Hervé Rigot,PS,640,0
Frank Troosters,VB,926,0
Joris De Vriendt,VB,374,0
Leslie Leoni,PS,99,0
Dominiek Sneppe,VB,1138,0
Laurence Zanchetta,PS,374,0
Thémont Sophie,PS,437,0
Katleen Bury,VB,771,0
Laurence Hennuy,Ecolo-Groen,398,0
Özlem Özen,PS,2168,0
Olivier Vajda,Ecolo-Groen,93,0
Nathalie Dewulf,VB,990,0
Erik Gilissen,VB,237,0
Christophe Lacroix,PS,3566,0
Daniel Senesael,PS,1456,0
Vincent Scourneau,MR,798,0
Eric THIEBAUT,PS,431,0
Jean-Marc Delizée,PS,1014,0
Philippe TISON,PS,204,0
Patrick Dewael,Open Vld,17682,0
Marijke Dillen,VB,237,0
Chanson julie,Ecolo-Groen,4,0
Mélissa Hanus,PS,166,0
Pieter De Spiegeleer,VB,540,0
Albert Vicaire,Ecolo-Groen,69,0
